Company,Vendor
Xircom,x
Chemical Banking Corp.,cbc
"Harris & Jeffries, Inc.",harris
NetTest Inc.,ni
Taiwan Telecommunication Lab,princeton
Telstra - OTC Australia,telstra
"Molex, Inc.",mi
University of Guelph,ca
Anchor Datacomm B.V.,adb
Tricom Communications Limited,tcl
Georgia Institute of Technology,gatech
Nokia (formerly 'Alcatel-Lucent'),nokia
Lexmark International,lexmark
Jigsaw Software Concepts (Pty) Ltd.,sun
nsgdata.com Inc,ni
Trio Information Systems AB,se
Phoenix Microsystems,phoenix
Adtran,adtran
"Netvion, Inc.",ni
"Oki Electric Industry Co., Ltd.",oki
Product Line Engineer SVEC Computer Corp.,line
Contec Micro Electronics USA,contec
Dell Inc.,dell
Whittaker Electronic Systems,electronic
Federal Express Corp.,express
Antlow Computers Ltd.,acl
Sola Electric,se
"Texaco, Inc.",ti
SAP AG,sap
University of Stellenbosch,sun
"Victor Company of Japan,Limited",company
ISDN Systems Corp.,isc
"Radix Technologies, Inc.",rti
National Institute of Standards and Technology,nist
Digital Technology Inc.,digital
Memotec Inc.,mi
"Showa Electric Wire & Cable Co., Ltd.",wire
"Persoft, Inc.",pi
"Network Security Systems, Inc.",nic
Central Intelligence Agency,gov
ISC (GB) Limited,isc
Digital Communication Associates,digital
Argonne National Lab,anl
North Western University,western
Ingres Corporation,ingres
Open Network Enterprise,open
"Ericsson Denmark A/S, Telebit Division",ericsson
Walgreens Company,company
Internet Initiative Japan Inc.,iij
Queen's University Belfast,ee
Securities Industry Automation Corporation,poly
SYNaPTICS,synaptics
Telindus Distribution,telindus
EQS Business Services,eqs
"Stony Brook, Inc.",sbi
Network Appliance Corporation,netapp
Mobile Solutions Inc.,mobile
Video Lottery Technologies,cdc
Applications Management Corp,washington
Travelers Insurance Company,company
US Patent and Trademark Office,gov
GECKO mbH,gm
Memorex Telex,mt
CF6 Company,company
Saturn Systems,cmu
Mitsui Marine and Fire Insurance Co. Ltd.,fire
Gallagher & Robertson A/S,gallagher
MiLAN Technology Corp.,milan
"Proxim Wireless, Inc",proxim
Pacific Bell,bell
Technology Solutions Company,company
NetComm Limited,netcomm
"Precision Systems, Inc.(PSI)",psi
"Information Integration, Inc.",iii
Olivetti North America,olivetti
Thomson Financial,thomson
SunNetworks Consultant,sun
"Arkhon Technologies, Inc.",ati
Computer Sciences Corporation,csc
Philips Communication d'Entreprise Claude Lubin,philips
Nicecom Ltd.,nice
AVM GmbH,avm
Institute for Information Industry,iii
Societe Internationale de Telecommunications Aeronautiques,es
Maximum Strategy Inc.,msi
ZyXEL Communications Corp.,zyxel
Potomac Scheduling Communications Company,company
"Sybase, Inc",sybase
Matrox Electronic Systems Limited,matrox
"Digital Products, Inc.",digital
RAD Vision,rad
Inotech Inc.Eric Jacobs,iij
ABB Inc. (formerly 'Elsag Bailey Incorporated'),abb
Clear Communications Corp.,clear
"Underscore, Inc.",ui
SerComm Corp.,sercomm
Continuous Electron Beam Accelerator Facility,gov
"Alpha Technologies, Inc.",ati
Network Communication Corp.,netcomm
Telecommunication Systems Lab,kth
g.a.m.s. edv-dienstleistungen,ge
"Intellimon Software, LLC.",isl
Accenture (formerly 'Andersen Consulting'),accenture
CyberPro International,digital
4th DIMENSION SOFTWARE Ltd.,zeus
SEIKO SOLUTIONS Inc.,seiko-sol
TV/COM International,ti
"Sola Electric, A Unit of General Signal",signal
Carrier Access Corp.,carrier
Epic Data Inc.,epic
Southwestern Bell Corporation (AT&T) (formerly 'Southwestern Bell Corporation'),bell
SOLITON SYSTEMS K.K.,soliton
"Multi-Tech Systems, Inc.",msi
United Parcel Service,ups
TCPSI,es
Norman Data Defense Systems,norman
Integrated Systems Solutions Corporation,ibm
Marconi,marconi
Lightning Instrumentation SA,lightning
"Mitel, Corp.",mitel
"MillenNet, Inc.",mi
BMC Software,bmc
Quantum Software GmbH,quantum
SAGEMCOM SAS,sagemcom
Systems & Technologies International,aol
Israeli Electric Company (IEC) Yoram Harlev,company
"Phoenix Wireless Group, Inc.",phoenix
Acer,acer
Eskom,eskom
WIPRO INFOTECH Ltd.,wipro
Canon Information Systems,canon
AOL Inc.,aol
"Target Concepts, Inc.",target
"Innosoft International, Inc.",iii
"NetStar, Inc.",ni
Information Management Company,company
Telstra Corp,telstra
Yokogawa-Hewlett-Packard,hp
"Apricot Computers, Ltd.",acl
"MoNet Systems, Inc.",msi
"Metricom, Inc.",mi
"Brave Software, Inc.",brave
"NetCell Systems, Inc.",dlink
Uni-QLennart Norlanderlennart.norlander&uniq.se,se
"Avanti Technology, Inc.",ati
"LAN-hopper Systems, Inc.",lsi
Piller GmbH,pg
"Engenio Information Technologies, Inc.",netapp
Intersection Development Corporation Michael,aol
"Fastware, S.A.",fs
EMC Corp,emc
Mercury Communications Ltd,mercury
COMPUTER PROTOCOL MALAYSIA SDN. BHD.,protocol
Pacific Electric Wire & Cable Co. Ltd.,wire
MPR Teltech Ltd,ca
"P-COM, Inc",pi
Anritsu Corporation,anritsu
"NeTpower, Inc.",ni
Bureau of Meteorology,gov
Integrated Systems Technology,nrl.navy
Stanford Telecom,stanford
ICOM Informatique,icom
Shoppers Drug Mart,ca
FRA,se
Smith Barney Inc.,sbi
Yamaha Corporation,yamaha
Illinois State University,illinois
ACT Networks Inc.,act
Ontario Hydro,ca
"BlueLine Software, Inc.",umn
The Southern Company,company
National Electrical Manufacturers Association (NEMA),nema
timonWare Inc.,ti
Tadiran Telecom TTL.,tadirantele
NCP,ncp
The NASDAQ Stock Market Inc.,nasdaq
"Goldman, Sachs Company",company
Phoenix Data Communications,phoenix
MILAN,milan
Choice Hotels Intl.,hotels
McAFee Associates Inc.,mcafee
Linkage Software Inc.,lsi
VeriFone Inc.,verifone
"Silex Technology America, Inc.  (formerly 'XCD, Incorporated')",silex
Coronet Systems,compuware
SEIKO EPSON CORPORATION,epson
"Mission Systems, Inc.",msi
Siemens Plessey Electronics Systems,siemens
"Applied Communications Inc,",sprint
HST Ltd,apc
Next Level Communications,next
Analog & Digital Systems Ltd.,analog
MFS Communications Company,company
Fujitsu Nexion,fujitsu
Micromuse Inc.,mi
Amber Wave Systems,wave
BroadVision,broadvision
"ALFA, Inc.",alfa
"TELEFONICA SISTEMAS, S.A.",telefonica
"Image Sciences, Inc.",iac
MITSUBISHI ELECTRIC INFORMATION NETWORK CORPORATION (MIND),mitsubishi
Network Services Group,aol
NETSOFT Inc.,ni
VERITAS Software Corp.,veritas
"USAir, Inc",ui
Jet Propulsion Laboratory,nasa
Dataplex Pty. Ltd.,dpl
"Creative Interaction Technologies, Inc.",creative
"PaineWebber, Inc.",pi
CelsiusTech AB,ca
"Electronic merchant Services, Inc.",electronic
ABL Canada Inc.,ca
Digital Video,digital
"Precept Software, Inc.",psi
NetCorp Inc.,ni
KYOCERA Corporation,kyocera
The Longaberger Company,company
ILEX,ilex
SeeBeyond Technology Corporation,seebeyond
"Multex Systems, Inc.",msi
"Gambit Communications, Inc.",gambit
Central Data Corporation,cdc
Generex Systems GMBH,generex
Digital Equipment bv,digital
SanRex Corporation,aol
Orange (formerly 'France Telecom'),orange
Attachmate Corp.,attachmate
LSI Logic,lsi
Frobbit AB (formerly 'Firma PAF'),se
Comedia Information AB,se
First National Bank of Chicago,sprint
Department of National Defence (Canada),defence
"CBM Technologies, Inc.",cbm
Simple Network Magic Corporation,simple
"ICRA, Inc.",ibm
Tellabs,tellabs
Sandia National Laboratories,gov
INETCO Systems Limited,isl
NTT Mobile Communications Network Inc.,ntt
Target Stores,target
Juniper Networks/Funk Software,juniper
"DunsGate, a Dun and Bradstreet Company",company
"ASP Technologies, Inc.",ati
Philips Communication Systems,philips
Dataprobe Inc.,dataprobe
Sprint,sprint
Nebula Consultants Inc.,telus
"SITRE, SA",id
Telub AB,se
Virginia Polytechnic Institute and State University,vt
QUALCOMM Incorporated,qualcomm
AOL / Netscape Communications Corp.,aol
OPTIQUEST,wdc
Mark Wahl,isode
Sharp Laboratories of America,sharp
Telegate GlobalAccess Technology Ltd.,zeus
The Torrington Company,company
GS-ProActive,yahoo
Atlantic Systems Group,asg
Kongsberg Informasjonskontroll AS,kia
ELTECO a.s.,ea
"M&C Systems, Inc.",msi
OM Systems International (OMSI) Mats,se
ATI Australia Pty Limited,ati
"Technologic, Inc.",ti
Illinois Business Training Center Weixiong,illinois
"Arris Networks, Inc.",arris
TeamQuest Corporation,teamquest
Tecnologia y Gestion de la Innovacion,es
MMS (Matra Marconi Space),marconi
"Telesciences, Inc.",ti
QSC Audio Products,qsc
"Australian Department of Employment, Education and Training",ibm
Sun Alliance (UK),sun
AG Communication Systems,acs
"Pivotal Networking, Inc.",pivotal
Frontec,se
NetVision,netvision
Allied Data Technologies,adt
Radnet Ltd.,rad
Océ Technologies BV,oce
THOMSON-CSF / Departement Reseaux d'Entreprise,thomson
Kingston Technology Company,company
InterActive Digital Solutions,digital
Raytheon Company,company
Telesend Inc.,ti
"Forte Software, Inc.",fsi
McAfee (formerly 'Secure Computing Corporation'),mcafee
BEZEQ,bezeq
StarNet Communications,starnet
"Department of Computer Science, University of Liverpool",csc
Rainbow Diamond Limited,rainbow
"Brocade Communications Systems, Inc.",brocade
"Quest Software, Inc. (formerly 'NetPro Computing, Inc.')",quest
Distributed Processing Technology,processing
CANON Inc.,canon
"Opcom, Inc.",oi
Peek Traffic - Transyt Corp.,aol
Australian Software Innovations (Services) Pty. Ltd.,asi
Omicron Telesystems Inc.,ibm
Telos Corporation Sharon,telos
Manage Information Technologies,mit
Mercedes-Benz AG,mercedes-benz
NOAA,gov
Wink Communications,wink
Thomson Electronic Information Resources (TEIR),thomson
Carelcomp Forest Oy,carel
Open Environment Australia,open
THOMSON - CSF,thomson
Panorama Software Inc.,panorama
Granite Systems Inc.,gsi
Companhia de Informatica do Parana - Celepar,informatica
"Royal Institute of Technology, Sweden (KTH)",kth
"SUNET, Swedish University Network",se
"Sage Instruments, Inc.",sage
M3i Systems Inc.,msi
RTS Wireless,rts
"Hyundai Electronics Industries Co.,Ltd.",hyundai
"Lynx Real-Time Systems, Inc.",lynx
McCormick Nunes Company,company
Ume E5 Universitet,se
NetiQ Corporation,netiq
HCL Technologies Limited,hcl
BEA Systems Ltd.,bea
Arena Consulting Limited,arena
Titan Information Systems Corp.,titan
Unimax Systems Corporation,usc
Pronet GmbH,pg
Genesys Telecommunications Laboratories Inc.(Genesys Labs.),genesys
Progress SoftwareAndrew Neumann,progress
